pl	lx	note
Ty wiedzieć strażnik, protektor	nio ga ding-sang mo	synthetic
Jeśli on/ona jeść mało, on/ona pić woda.	jiao cou ji min, cou ju zhe.	synthetic
Ja jeść przeciwstawiać.	ao ji lang-tuan.	synthetic
Ty partykuła posiadania/określenia głodny.	nio zhai pie.	synthetic
Ty jeść relacja, związek.	nio ji zan-ren.	synthetic
On/ona negacja (nie) słuchać oddzielać.	cou daoo fu tu-zan.	synthetic
Jeśli on/ona jeść modlić się, on/ona pić woda.	jiao cou ji sa-qiao, cou ju zhe.	synthetic
Ty jeść słodki	nio ji jun mo	synthetic
On/ona partykuła posiadania/określenia modlić się.	cou zhai sa-qiao.	synthetic
My partykuła posiadania/określenia płatek.	lano zhai tu-pi.	synthetic
Jeśli my jeść skręcenie, my pić woda.	jiao lano ji mo-rua, lano ju zhe.	synthetic
Jeśli my jeść heijiro (imię własne), my pić woda.	jiao lano ji heijiro, lano ju zhe.	synthetic
My partykuła posiadania/określenia przerywać.	lano zhai shan-yun.	synthetic
Ja negacja (nie) słuchać tańczyć.	ao daoo fu lao-za.	synthetic
Ja negacja (nie) słuchać potrząsać, kiwać.	ao daoo fu piao-ju.	synthetic
My partykuła posiadania/określenia kontynuować.	lano zhai bie-seng.	synthetic
Ja partykuła posiadania/określenia klient.	ao zhai nu-lin.	synthetic
Ty negacja (nie) mówić potwierdzić.	nio daoo bi duo-kuan.	synthetic
Ja wiedzieć żółty	ao ga nou mo	synthetic
Ty wiedzieć kapusta chińska	nio ga caio-dou mo	synthetic
On/ona słuchać tamci	cou fu hu-dou mo	synthetic
My pić czekać.	lano ju wa.	synthetic
Jeśli ja jeść prawo pięści, ja pić woda.	jiao ao ji tang-za, ao ju zhe.	synthetic
My jeść czarny wojownik (kierunek północ), żółw i wąż	lano ji sheo-da mo	synthetic
Ty partykuła posiadania/określenia papryka chili.	nio zhai caio-zhong.	synthetic
Ty mówić jabłko	nio bi guoo-shang mo	synthetic
Jeśli ja jeść rzęsy, ja pić woda.	jiao ao ji lie-nong, ao ju zhe.	synthetic
Ja partykuła posiadania/określenia dziwny, osobliwy.	ao zhai zan-hu.	synthetic
Ja słuchać rozbierać się.	ao fu san-zei.	synthetic
Ja partykuła posiadania/określenia słuchać.	ao zhai fu.	synthetic
Ty negacja (nie) jeść zewnętrzna.	nio daoo ji tuo-bo.	synthetic
Ja słuchać punkt akupunkturowy.	ao fu yang-nue.	synthetic
Jeśli on/ona jeść trzydzieści, on/ona pić woda.	jiao cou ji chen-yue, cou ju zhe.	synthetic
Ty mówić kondensacja.	nio bi rao-nian.	synthetic
My partykuła posiadania/określenia niebo.	lano zhai tiano.	synthetic
My partykuła posiadania/określenia supermarket.	lano zhai shang-diao.	synthetic
Ja słuchać rząd	ao fu dai-ran mo	synthetic
Ty słuchać dzień	nio fu jian mo	synthetic
On/ona partykuła posiadania/określenia młot.	cou zhai liao-ang.	synthetic
On/ona negacja (nie) pić bogactwo.	cou daoo ju rong-cang.	synthetic
Ty partykuła posiadania/określenia dzieło, utwór.	nio zhai juan-tuo.	synthetic
On/ona negacja (nie) jeść telewizja.	cou daoo ji hang-gun.	synthetic
On/ona negacja (nie) wiedzieć uczeń, adept.	cou daoo ga ma-cha.	synthetic
Ja jeść górska ścieżka	ao ji sheng-bai mo	synthetic
On/ona jeść kruchy, delikatny	cou ji xin-pan mo	synthetic
Jeśli on/ona jeść niewinny, on/ona pić woda.	jiao cou ji shun-diao, cou ju zhe.	synthetic
On/ona słuchać wschód słońca	cou fu keng-la mo	synthetic
My partykuła posiadania/określenia rozliczyć rachunek.	lano zhai suan-chi.	synthetic
Ty partykuła posiadania/określenia terapia.	nio zhai yang-zhai.	synthetic
Jeśli ty jeść leniwy, ty pić woda.	jiao nio ji nen-lian, nio ju zhe.	synthetic
Ja negacja (nie) mówić świat.	ao daoo bi fa-gu.	synthetic
My partykuła posiadania/określenia książę (syn króla).	lano zhai lian-chuan.	synthetic
My partykuła posiadania/określenia tyka, drążek.	lano zhai miu-nin.	synthetic
Ja negacja (nie) jeść korzeń.	ao daoo ji geno-suo.	synthetic
Jeśli on/ona jeść pokorny sługa (o sobie), on/ona pić woda.	jiao cou ji kei-hou, cou ju zhe.	synthetic
Ja jeść lewa strona.	ao ji kuo-shuai.	synthetic
Ty partykuła posiadania/określenia przyjmować (gości).	nio zhai gao-feng.	synthetic
Ja jeść piętro, warstwa.	ao ji cuo-pang.	synthetic
My słuchać uniwersytet	lano fu xiong-ning mo	synthetic
Jeśli ty jeść zagajnik, ty pić woda.	jiao nio ji ding-suo, nio ju zhe.	synthetic
Jeśli ja jeść zniszczyć całkowicie, ja pić woda.	jiao ao ji wai-bo, ao ju zhe.	synthetic
Ty słuchać spichlerz.	nio fu heng-nen.	synthetic
Ja słuchać ksitigarbha (bodhisattwa).	ao fu geng-zao.	synthetic
Ja pić patrzeć	ao ju fa mo	synthetic
Ty jeść świat.	nio ji fa-gu.	synthetic
Jeśli ja jeść zamiatać podłogę, ja pić woda.	jiao ao ji pen-xin, ao ju zhe.	synthetic
Jeśli on/ona jeść ryż, on/ona pić woda.	jiao cou ji fano, cou ju zhe.	synthetic
My negacja (nie) pić owocowy zapach.	lano daoo ju duano-meng.	synthetic
Jeśli ty jeść niewinny, ty pić woda.	jiao nio ji shun-diao, nio ju zhe.	synthetic
Ja jeść górska ścieżka.	ao ji sheng-bai.	synthetic
Ty partykuła posiadania/określenia kaszleć.	nio zhai xue-kuan.	synthetic
Ty pić małe dojrzewanie.	nio ju nian-hen.	synthetic
Ja partykuła posiadania/określenia nadzieja.	ao zhai di-zao.	synthetic
Jeśli on/ona jeść dać, on/ona pić woda.	jiao cou ji dio, cou ju zhe.	synthetic
Ja pić żółty ziemisty.	ao ju nou-gang.	synthetic
My negacja (nie) pić liryka (forma poetycka).	lano daoo ju ya-ju.	synthetic
Ja negacja (nie) wiedzieć szacunek.	ao daoo ga rongo-cao.	synthetic
Ty negacja (nie) pić nie ma za co.	nio daoo ju a-er-ma.	synthetic
My negacja (nie) pić siła.	lano daoo ju bian-pei.	synthetic
On/ona negacja (nie) słuchać ciąć.	cou daoo fu pa.	synthetic
My partykuła posiadania/określenia syndrom nadmiaru.	lano zhai che-ao.	synthetic
Jeśli on/ona jeść konkurent, on/ona pić woda.	jiao cou ji fo-you-zuo, cou ju zhe.	synthetic
Ja mówić rozmiar.	ao bi ce-dian.	synthetic
Ty słuchać ściereczka do herbaty	nio fu wang-cha mo	synthetic
Ty negacja (nie) pić kapusta chińska.	nio daoo ju caio-dou.	synthetic
Jeśli my jeść liście herbaty, my pić woda.	jiao lano ji qiu-pang, lano ju zhe.	synthetic
Ja partykuła posiadania/określenia taoista.	ao zhai ti-cou.	synthetic
Jeśli ja jeść dokument, ja pić woda.	jiao ao ji lai-kei, ao ju zhe.	synthetic
My negacja (nie) mówić grubość.	lano daoo bi jiang-nue.	synthetic
Ja słuchać przeciwstawiać.	ao fu lang-tuan.	synthetic
Ja partykuła posiadania/określenia czytać.	ao zhai mi.	synthetic
Jeśli my jeść kłuć, dźgać, my pić woda.	jiao lano ji gu-che, lano ju zhe.	synthetic
My partykuła posiadania/określenia sąsiad.	lano zhai biao-huai.	synthetic
On/ona mówić tymczasowy.	cou bi luo-gai.	synthetic
Ja partykuła posiadania/określenia forma,.	ao zhai chu-a.	synthetic
My jeść rzutka	lano ji ou-ning mo	synthetic
Jeśli ja jeść pisać, ja pić woda.	jiao ao ji muo, ao ju zhe.	synthetic
Ja pić głód	ao ju sen-zhua mo	synthetic
Jeśli ja jeść długi, ja pić woda.	jiao ao ji die, ao ju zhe.	synthetic
On/ona partykuła posiadania/określenia zdanie.	cou zhai lue-zhen.	synthetic
Ja partykuła posiadania/określenia dorsz żółty.	ao zhai dongo-huan.	synthetic
Jeśli my jeść myć twarz, my pić woda.	jiao lano ji cha-huai, lano ju zhe.	synthetic
Ja pić nadmiernie	ao ju nang-niang mo	synthetic
Ja słuchać szelest	ao fu zhen-ba mo	synthetic
On/ona wiedzieć obracać się.	cou ga ha-ga.	synthetic
Jeśli ty jeść zdanie, ty pić woda.	jiao nio ji lue-zhen, nio ju zhe.	synthetic
Ty mówić prowadzić.	nio bi ang-yong.	synthetic
Jeśli ty jeść słońce, ty pić woda.	jiao nio ji guango, nio ju zhe.	synthetic
My negacja (nie) wiedzieć plac.	lano daoo ga nang-xuan.	synthetic
Ty jeść brama (budowla)	nio ji rong-ji mo	synthetic
My jeść młot	lano ji liao-ang mo	synthetic
Ty pić dokument	nio ju lai-kei mo	synthetic
Ty negacja (nie) mówić wszyscy.	nio daoo bi cai-zheng.	synthetic
My negacja (nie) słuchać wznosić (budowlę).	lano daoo fu cheng-lu.	synthetic
My negacja (nie) mówić gołąb.	lano daoo bi geo-ku.	synthetic
Ty negacja (nie) jeść sławny.	nio daoo ji dong-zei.	synthetic
Ty słuchać sławny.	nio fu dong-zei.	synthetic
Ja negacja (nie) pić czapla biała.	ao daoo ju te-bian.	synthetic
Ty partykuła posiadania/określenia pić.	nio zhai ju.	synthetic
On/ona negacja (nie) pić praca domowa, zadanie.	cou daoo ju cang-jiu.	synthetic
On/ona partykuła posiadania/określenia gotowany ryż.	cou zhai fano-sheng.	synthetic
On/ona wiedzieć owocowy zapach.	cou ga duano-meng.	synthetic
My jeść kwadratowy kształt.	lano ji zhe-tui.	synthetic
Ja negacja (nie) pić rynek.	ao daoo ju bao-shao.	synthetic
Jeśli ja jeść wyspa, ja pić woda.	jiao ao ji haio-mei, ao ju zhe.	synthetic
Ty jeść kruchy, delikatny.	nio ji xin-pan.	synthetic
Jeśli ja jeść taoista, ja pić woda.	jiao ao ji ti-cou, ao ju zhe.	synthetic
Ty słuchać list, korespondencja.	nio fu kan-duo.	synthetic
Ty partykuła posiadania/określenia korygować.	nio zhai sa-shua.	synthetic
Ja wiedzieć rząd	ao ga dai-ran mo	synthetic
On/ona negacja (nie) pić wewnętrzna moc.	cou daoo ju xiaoo-ce.	synthetic
Jeśli ty jeść gołąb, ty pić woda.	jiao nio ji geo-ku, nio ju zhe.	synthetic
My pić koszula	lano ju cheng-liao mo	synthetic
Ty negacja (nie) jeść mikroskopijny.	nio daoo ji li-gei-ka.	synthetic
My wiedzieć armia	lano ga wu-xuan mo	synthetic
Jeśli ty jeść tęsknić za, ty pić woda.	jiao nio ji lei-zhen, nio ju zhe.	synthetic
On/ona mówić starszy współuczeń (mężczyzna)	cou bi ma-xie mo	synthetic
On/ona mówić palec u ręki.	cou bi qia-fo.	synthetic
Ja negacja (nie) wiedzieć machać ręką.	ao daoo ga kun-beng.	synthetic
On/ona partykuła posiadania/określenia księżniczka.	cou zhai guo-jiao.	synthetic
Jeśli on/ona jeść kochać, on/ona pić woda.	jiao cou ji quo, cou ju zhe.	synthetic
On/ona negacja (nie) mówić człowiek.	cou daoo bi que.	synthetic
My wiedzieć słuchać.	lano ga fu.	synthetic
Ja wiedzieć społeczeństwo	ao ga jiu-zheng mo	synthetic
Ty negacja (nie) mówić stopa.	nio daoo bi chan.	synthetic
Ja mówić pewność.	ao bi sao-niang.	synthetic
Jeśli ty jeść jakość, ty pić woda.	jiao nio ji ming-en, nio ju zhe.	synthetic
Ty negacja (nie) jeść śmiać się.	nio daoo ji tao-pin.	synthetic
Jeśli my jeść czytać, my pić woda.	jiao lano ji mi, lano ju zhe.	synthetic
Ty jeść doktor (stopień).	nio ji lei-gun.	synthetic
Jeśli on/ona jeść taki sam, on/ona pić woda.	jiao cou ji an-nao, cou ju zhe.	synthetic
My partykuła posiadania/określenia latarnia.	lano zhai liu-zu.	synthetic
My partykuła posiadania/określenia proszę wejść.	lano zhai hua-kuo.	synthetic
Ty pić fantazja, iluzja	nio ju zan-shou mo	synthetic
Ja negacja (nie) wiedzieć iść szybko.	ao daoo ga tuan-re.	synthetic
Ty słuchać kałamarnica	nio fu tou-chun mo	synthetic
Ja negacja (nie) słuchać wstawać.	ao daoo fu hang-nuo.	synthetic
My partykuła posiadania/określenia leżeć na plecach.	lano zhai xing-wan.	synthetic
My jeść heijiro (imię własne).	lano ji heijiro.	synthetic
Jeśli ja jeść zwierzęta wymarłe, ja pić woda.	jiao ao ji dongo-lian, ao ju zhe.	synthetic
Jeśli on/ona jeść pielęgniarka, on/ona pić woda.	jiao cou ji nian-de, cou ju zhe.	synthetic
My słuchać sytuacja, okoliczności.	lano fu nie-zhuai.	synthetic
On/ona negacja (nie) mówić planować.	cou daoo bi shen-jing.	synthetic
Ja słuchać sztorm.	ao fu chai-duan.	synthetic
Jeśli ty jeść klęczeć, ty pić woda.	jiao nio ji gun-wan, nio ju zhe.	synthetic
On/ona jeść pewność.	cou ji sao-niang.	synthetic
Ty pić niestabilny	nio ju kan-na-pi mo	synthetic
My pić perła	lano ju kang-eng mo	synthetic
Jeśli my jeść kałamarnica, my pić woda.	jiao lano ji tou-chun, lano ju zhe.	synthetic
Jeśli ja jeść siła, ja pić woda.	jiao ao ji bian-pei, ao ju zhe.	synthetic
Ja mówić górska ścieżka.	ao bi sheng-bai.	synthetic
Ja partykuła posiadania/określenia zazwyczaj.	ao zhai man-bei.	synthetic
My negacja (nie) pić rzeźbiarz.	lano daoo ju diao-ren.	synthetic
Ty mówić lśniący, błyszczący.	nio bi diu-zhai.	synthetic
On/ona mówić grubość	cou bi jiang-nue mo	synthetic
Jeśli my jeść liryka (forma poetycka), my pić woda.	jiao lano ji ya-ju, lano ju zhe.	synthetic
Ja negacja (nie) jeść ostryga.	ao daoo ji luo-shuo.	synthetic
My słuchać pić	lano fu ju mo	synthetic
Jeśli ja jeść koral, ja pić woda.	jiao ao ji luan-bo, ao ju zhe.	synthetic
Ja pić 3	ao ju cen mo	synthetic
On/ona pić przedmiot.	cou ju qing-nu.	synthetic
My pić kontaktować się.	lano ju ding-hui.	synthetic
Ty negacja (nie) jeść mieć.	nio daoo ji an.	synthetic
Ty jeść małe dojrzewanie.	nio ji nian-hen.	synthetic
On/ona negacja (nie) wiedzieć zamknąć.	cou daoo ga tao.	synthetic
Ty słuchać gotowany, ugotowany.	nio fu mou-tao.	synthetic
On/ona negacja (nie) słuchać gdzie.	cou daoo fu hen-yuan.	synthetic
Ty wiedzieć książę (syn króla)	nio ga lian-chuan mo	synthetic
Ty jeść każdy.	nio ji kun.	synthetic
On/ona jeść latarnia.	cou ji liu-zu.	synthetic
Jeśli ja jeść częściowo pochmurnie, ja pić woda.	jiao ao ji tiano-gou, ao ju zhe.	synthetic
On/ona pić bicie dzwonu	cou ju shun-you mo	synthetic
On/ona partykuła posiadania/określenia aromatyczny.	cou zhai dui-za.	synthetic
On/ona słuchać zniszczyć całkowicie.	cou fu wai-bo.	synthetic
Ja partykuła posiadania/określenia osa.	ao zhai mio-xiu.	synthetic
Jeśli on/ona jeść księżniczka, on/ona pić woda.	jiao cou ji guo-jiao, cou ju zhe.	synthetic
On/ona negacja (nie) wiedzieć starożytna.	cou daoo ga hun-bang.	synthetic
Jeśli on/ona jeść grubość, on/ona pić woda.	jiao cou ji jiang-nue, cou ju zhe.	synthetic
On/ona partykuła posiadania/określenia często.	cou zhai nang-diao.	synthetic
Ja słuchać złota rybka.	ao fu dongo-che.	synthetic
My wiedzieć piętro, warstwa.	lano ga cuo-pang.	synthetic
Jeśli my jeść leniwy, my pić woda.	jiao lano ji nen-lian, lano ju zhe.	synthetic
My negacja (nie) jeść szczęście.	lano daoo ji huano.	synthetic
Ty partykuła posiadania/określenia źrebię.	nio zhai bian-kang.	synthetic
Ty partykuła posiadania/określenia leżeć na plecach.	nio zhai xing-wan.	synthetic
Ty wiedzieć wszyscy.	nio ga cai-zheng.	synthetic
Ty jeść sroka.	nio ji queo-zha.	synthetic
Ja negacja (nie) pić ubolewać.	ao daoo ju nai-zi.	synthetic
On/ona jeść zwycięstwo	cou ji a-qian mo	synthetic
Jeśli ty jeść staza krwi, ty pić woda.	jiao nio ji bi-dan, nio ju zhe.	synthetic
Jeśli ja jeść cienkość, ja pić woda.	jiao ao ji shuio, ao ju zhe.	synthetic
Jeśli on/ona jeść dzieło, utwór, on/ona pić woda.	jiao cou ji juan-tuo, cou ju zhe.	synthetic
Ty negacja (nie) słuchać oddzielać.	nio daoo fu tu-zan.	synthetic
My słuchać wachlarz.	lano fu du-luo.	synthetic
Ja negacja (nie) jeść słodki.	ao daoo ji jun.	synthetic
Jeśli ja jeść pustynia, ja pić woda.	jiao ao ji gu-ruo, ao ju zhe.	synthetic
Ty słuchać umowa.	nio fu yong-huo.	synthetic
On/ona jeść długi	cou ji die mo	synthetic
Jeśli ty jeść dzieło, utwór, ty pić woda.	jiao nio ji juan-tuo, nio ju zhe.	synthetic
Ty słuchać żywy	nio fu lue mo	synthetic
Ty wiedzieć szlachetny mąż	nio ga chou-zhen mo	synthetic
On/ona negacja (nie) słuchać spichlerz.	cou daoo fu heng-nen.	synthetic
Ja wiedzieć dorsz żółty	ao ga dongo-huan mo	synthetic
Jeśli ja jeść przedmiot, ja pić woda.	jiao ao ji qing-nu, ao ju zhe.	synthetic
My pić produkty mleczne	lano ju xue-xian mo	synthetic
Ty pić pić.	nio ju ju.	synthetic
On/ona słuchać życzę tobie.	cou fu hang-xin.	synthetic
On/ona pić sztorm	cou ju chai-duan mo	synthetic
Jeśli ja jeść młotek, ja pić woda.	jiao ao ji chuang-xi, ao ju zhe.	synthetic
My słuchać zazwyczaj.	lano fu man-bei.	synthetic
On/ona słuchać walka.	cou fu luo-di.	synthetic
Ty partykuła posiadania/określenia brama (budowla).	nio zhai rong-ji.	synthetic
On/ona partykuła posiadania/określenia mało.	cou zhai min.	synthetic
Ty pić kciuk.	nio ju shai-lou.	synthetic
Jeśli ja jeść rozpatrywać, ja pić woda.	jiao ao ji ye-fen, ao ju zhe.	synthetic
My pić wypłynąć.	lano ju ye-dong.	synthetic
Ja słuchać czysty	ao fu cha-hui mo	synthetic
Ja negacja (nie) jeść proces.	ao daoo ji dang-ban.	synthetic
On/ona pić moneta miedziana	cou ju bin-hei mo	synthetic
Jeśli ja jeść ziemia orna, ja pić woda.	jiao ao ji diio-rui, ao ju zhe.	synthetic
Ja wiedzieć narracja, opowiadanie.	ao ga chi-cong.	synthetic
Jeśli ty jeść piwonia biała, ty pić woda.	jiao nio ji qi-chuan, nio ju zhe.	synthetic
Jeśli ty jeść wzrok, ty pić woda.	jiao nio ji zui-ka, nio ju zhe.	synthetic
My partykuła posiadania/określenia jego Wysokość (cesarz).	lano zhai fu-diu.	synthetic
Jeśli ty jeść hałaśliwy, ty pić woda.	jiao nio ji kuang-hen, nio ju zhe.	synthetic
My wiedzieć dorsz żółty	lano ga dongo-huan mo	synthetic
Ja pić mąż.	ao ju juan-nie.	synthetic
On/ona partykuła posiadania/określenia świat.	cou zhai fa-gu.	synthetic
Ja negacja (nie) pić mały upał.	ao daoo ju ding-zei.	synthetic
Ty mówić chleb	nio bi miano mo	synthetic
Jeśli ja jeść supermarket, ja pić woda.	jiao ao ji shang-diao, ao ju zhe.	synthetic
On/ona pić złamanie.	cou ju za-ru.	synthetic
On/ona negacja (nie) jeść społeczeństwo.	cou daoo ji jiu-zheng.	synthetic
Ty partykuła posiadania/określenia trzy.	nio zhai cen-cao.	synthetic
Ja negacja (nie) jeść supermarket.	ao daoo ji shang-diao.	synthetic
Ty jeść uspokojony.	nio ji qian-shen.	synthetic
Ja słuchać syndrom nadmiaru	ao fu che-ao mo	synthetic
Jeśli ja jeść krawiec, ja pić woda.	jiao ao ji sou-mei, ao ju zhe.	synthetic
Ja mówić przedmiot	ao bi qing-nu mo	synthetic
Jeśli ja jeść wzrok, ja pić woda.	jiao ao ji zui-ka, ao ju zhe.	synthetic
On/ona negacja (nie) słuchać powodzenia.	cou daoo fu liu-hu.	synthetic
Ty partykuła posiadania/określenia rodzina od żony.	nio zhai miao-xuan.	synthetic
Ty wiedzieć pewność	nio ga sao-niang mo	synthetic
Ty partykuła posiadania/określenia wróżbiarstwo.	nio zhai tian-hen.	synthetic
Ja mówić wschód słońca.	ao bi keng-la.	synthetic
Jeśli on/ona jeść starożytna, on/ona pić woda.	jiao cou ji hun-bang, cou ju zhe.	synthetic
On/ona pić grubość	cou ju jiang-nue mo	synthetic
Jeśli ty jeść myśleć, ty pić woda.	jiao nio ji geo, nio ju zhe.	synthetic
My jeść smarować (farbą).	lano ji qie-wa.	synthetic
Ja negacja (nie) mówić ulica.	ao daoo bi ke-chi.	synthetic
My negacja (nie) mówić zapisywać, rejestrować.	lano daoo bi bian-deng.	synthetic
Ja wiedzieć żółty ziemisty	ao ga nou-gang mo	synthetic
Ty słuchać ostryga.	nio fu luo-shuo.	synthetic
Ty negacja (nie) słuchać koszt, cena zakupu.	nio daoo fu che-hong.	synthetic
On/ona słuchać sztorm	cou fu chai-duan mo	synthetic
On/ona negacja (nie) pić rzepa, rzodkiew.	cou daoo ju nai-yan.	synthetic
Ja mówić życzę tobie	ao bi hang-xin mo	synthetic
Ja pić pijać (formalnie).	ao ju chong-mi.	synthetic
Ja mówić ciąża.	ao bi shuang-lai.	synthetic
On/ona mówić oślepić wzrok	cou bi pie-qin mo	synthetic
Jeśli my jeść świnia, my pić woda.	jiao lano ji tuno-zhun, lano ju zhe.	synthetic
My negacja (nie) wiedzieć staza krwi.	lano daoo ga bi-dan.	synthetic
My partykuła posiadania/określenia ryż.	lano zhai fano.	synthetic
My negacja (nie) jeść uzyskać.	lano daoo ji yin-wen.	synthetic
Ja słuchać trochę.	ao fu xun.	synthetic
Ja mówić ogień	ao bi zha mo	synthetic
On/ona słuchać czarna herbata.	cou fu gango-min.	synthetic
On/ona pić jabłko.	cou ju guoo-shang.	synthetic
My partykuła posiadania/określenia kciuk.	lano zhai shai-lou.	synthetic
Jeśli my jeść obudzić się, my pić woda.	jiao lano ji ke, lano ju zhe.	synthetic
On/ona negacja (nie) mówić umowa.	cou daoo bi yong-huo.	synthetic
Ja pić kaczka mandarynka (para)	ao ju yamo-ma mo	synthetic
Jeśli ty jeść sui-Tun pewno, ty pić woda.	jiao nio ji reng-bin, nio ju zhe.	synthetic
My jeść pozdrawiać.	lano ji pai-yu.	synthetic
Ty partykuła posiadania/określenia Pęcherz moczowy (organ TCM).	nio zhai seng-da.	synthetic
Jeśli on/ona jeść uczucie (dotyk), on/ona pić woda.	jiao cou ji huo-pie, cou ju zhe.	synthetic
Jeśli on/ona jeść pusty, on/ona pić woda.	jiao cou ji hua, cou ju zhe.	synthetic
Ty mówić taki sam	nio bi an-nao mo	synthetic
Ja mówić ukończyć	ao bi lei-zhuai mo	synthetic
Ja partykuła posiadania/określenia kłuć, dźgać.	ao zhai gu-che.	synthetic
On/ona pić powrócić	cou ju shuai-nu mo	synthetic
Jeśli my jeść pusty, my pić woda.	jiao lano ji hua, lano ju zhe.	synthetic
On/ona wiedzieć sala Buddy.	cou ga ma-chao.	synthetic
On/ona pić tratwa.	cou ju ke-yun.	synthetic
My negacja (nie) pić oparzenie.	lano daoo ju ni-gu.	synthetic
Jeśli on/ona jeść gotowany, ugotowany, on/ona pić woda.	jiao cou ji mou-tao, cou ju zhe.	synthetic
My słuchać czasem	lano fu gang-nou mo	synthetic
On/ona mówić pożar.	cou bi mo-ta.	synthetic
On/ona wiedzieć rozkazywać.	cou ga nue-zui.	synthetic
Jeśli my jeść łódź rybacka, my pić woda.	jiao lano ji haio-men, lano ju zhe.	synthetic
Jeśli my jeść sui-Tun pewno, my pić woda.	jiao lano ji reng-bin, lano ju zhe.	synthetic
Ty mówić trafić	nio bi huo-da mo	synthetic
My partykuła posiadania/określenia pielęgniarka.	lano zhai nian-de.	synthetic
Jeśli on/ona jeść gdzie, on/ona pić woda.	jiao cou ji hen-yuan, cou ju zhe.	synthetic
Ty jeść machać ręką	nio ji kun-beng mo	synthetic
Jeśli ja jeść teraz, ja pić woda.	jiao ao ji nun, ao ju zhe.	synthetic
Jeśli my jeść pokorny sługa (o sobie), my pić woda.	jiao lano ji kei-hou, lano ju zhe.	synthetic
Jeśli ja jeść drabina, ja pić woda.	jiao ao ji xian-miao, ao ju zhe.	synthetic
Ja jeść niebo	ao ji tiano mo	synthetic
On/ona pić meteor, spadająca gwiazda	cou ju guango-sun mo	synthetic
Jeśli my jeść i, my pić woda.	jiao lano ji lun, lano ju zhe.	synthetic
Ja słuchać autorytet.	ao fu run-hai.	synthetic
My wiedzieć przyszłość.	lano ga zhao-ding.	synthetic
My negacja (nie) jeść gotowany, ugotowany.	lano daoo ji mou-tao.	synthetic
Jeśli ja jeść lewa strona, ja pić woda.	jiao ao ji kuo-shuai, ao ju zhe.	synthetic
On/ona jeść lodowaty, mroźny	cou ji zeng-luan mo	synthetic
On/ona negacja (nie) wiedzieć decydować.	cou daoo ga yu-kao.	synthetic
Ty pić hałaśliwy.	nio ju kuang-hen.	synthetic
Jeśli my jeść tłumacz, my pić woda.	jiao lano ji nei-he-ren, lano ju zhe.	synthetic
On/ona negacja (nie) mówić gołąb.	cou daoo bi geo-ku.	synthetic
Jeśli my jeść choroba (formalne), my pić woda.	jiao lano ji mian-lue, lano ju zhe.	synthetic
Ty pić plac	nio ju nang-xuan mo	synthetic
On/ona pić wstawać.	cou ju hang-nuo.	synthetic
Jeśli ja jeść gubernator, ja pić woda.	jiao ao ji mang-wei, ao ju zhe.	synthetic
On/ona partykuła posiadania/określenia wachlarz.	cou zhai du-luo.	synthetic
Jeśli ja jeść trzęsienie ziemi, ja pić woda.	jiao ao ji zheno-nuan, ao ju zhe.	synthetic
On/ona wiedzieć poważnie, starannie.	cou ga tiao-ne.	synthetic
Ty partykuła posiadania/określenia starożytne Królestwo.	nio zhai zan-wa.	synthetic
Ty partykuła posiadania/określenia lis.	nio zhai hulo-bi.	synthetic
Jeśli on/ona jeść jeż, on/ona pić woda.	jiao cou ji lin-zhe, cou ju zhe.	synthetic
Ty negacja (nie) wiedzieć rzepa, rzodkiew.	nio daoo ga nai-yan.	synthetic
Ty jeść próby, trudne testy	nio ji kuo-nie-gui mo	synthetic
On/ona słuchać świat.	cou fu fa-gu.	synthetic
Ja negacja (nie) słuchać rozbierać się.	ao daoo fu san-zei.	synthetic
On/ona słuchać jego Wysokość (cesarz).	cou fu fu-diu.	synthetic
On/ona pić tęsknić za.	cou ju lei-zhen.	synthetic
Jeśli ty jeść gorący, ty pić woda.	jiao nio ji weno-eng, nio ju zhe.	synthetic
Jeśli my jeść ogień serca, my pić woda.	jiao lano ji cuo-hui, lano ju zhe.	synthetic
On/ona partykuła posiadania/określenia woda.	cou zhai zhe.	synthetic
On/ona negacja (nie) jeść coś.	cou daoo ji qie.	synthetic
Ja partykuła posiadania/określenia wdzięczność (głęboka).	ao zhai mi-ben.	synthetic
Ty partykuła posiadania/określenia róża chińska.	nio zhai gang-gong.	synthetic
My słuchać bogactwo	lano fu rong-cang mo	synthetic
My negacja (nie) słuchać sprzeczność.	lano daoo fu lei-bo.	synthetic
On/ona słuchać uzyskać	cou fu yin-wen mo	synthetic
Jeśli ja jeść tańczyć, ja pić woda.	jiao ao ji lao-za, ao ju zhe.	synthetic
Jeśli my jeść pokwitowanie, my pić woda.	jiao lano ji kang-hen, lano ju zhe.	synthetic
Jeśli ja jeść pasmo górskie, ja pić woda.	jiao ao ji he-shuang, ao ju zhe.	synthetic
Ty partykuła posiadania/określenia lato.	nio zhai yan-ang.	synthetic
Ja partykuła posiadania/określenia patrzeć.	ao zhai fa.	synthetic
Ja partykuła posiadania/określenia średni.	ao zhai zhi-re.	synthetic
Ja negacja (nie) pić ukończyć.	ao daoo ju lei-zhuai.	synthetic
Ty negacja (nie) jeść wróżbiarstwo.	nio daoo ji tian-hen.	synthetic
Jeśli my jeść pogardzać, my pić woda.	jiao lano ji hua-cu, lano ju zhe.	synthetic
