CHINESE CONTAMINATION CHECK - LENGXUAN DICTIONARY
================================================================================

Date: 2026-01-28
Total codes analyzed: 2718
  san-zei → san (syllable)
  sang-di-dang → di (syllable)
  sang-mu → mu (syllable)
  sang-xiao → xiao (syllable)
  se-duan → duan (syllable)
  se-qi → qi (syllable)
  se-si → si (syllable)
  sen-shuo → shuo (syllable)
  seng-da → da (syllable)
  seng-ne → ne (syllable)
  sha-wei → wei (syllable)
  sha-xue → xue (syllable)
  shai-qi → qi (syllable)
  shai-ting → ting (syllable)
  shai-you → you (syllable)
  shan-cuan → shan (syllable)
  shan-yun → shan (syllable)
  shan-zui-rong → shan (syllable)
  shan-zuo → shan (syllable)
  shan-zuo → zuo (syllable)
  shang-shan → shan (syllable)
  shao-guo → guo (syllable)
  she-nei → nei (syllable)
  shen-cun → cun (syllable)
  sheng-bai → bai (syllable)
  sheng-si → si (syllable)
  sheng-ting-san → ting (syllable)
  sheng-ting-san → san (syllable)
  shi → shi (exact)
  shi → shi (syllable)
  shi-ben → shi (syllable)
  shi-dong → shi (syllable)
  shi-hai → shi (syllable)
  shi-hai → hai (syllable)
  shi-hou → shi (syllable)
  shi-huai → shi (syllable)
  shi-huai → huai (syllable)
  shi-lao → shi (syllable)
  shi-ren → shi (syllable)
  shi-ren → ren (syllable)
  shi-xian-zha → shi (syllable)
  shi-zi → shi (syllable)
  shu → shu (exact)
  shu → shu (syllable)
  shu-chai → shu (syllable)
  shu-ku → shu (syllable)
  shu-lan → shu (syllable)
  shu-lan → lan (syllable)
  shu-sun → shu (syllable)
  shuai-duan → duan (syllable)
  shuai-min-shui → shui (syllable)
  shuai-nei → nei (syllable)
  shuai-shuo-niu → shuo (syllable)
  shuang-lai → lai (syllable)
  shuang-zhan → zhan (syllable)
  shui → shui (exact)
  shui → shui (syllable)
  shui-ai → shui (syllable)
  shui-jia → shui (syllable)
  shui-kou → shui (syllable)
  shui-wu → shui (syllable)
  shui-wu → wu (syllable)
  shun-bu → bu (syllable)
  shun-you → you (syllable)
  shuo-lin → shuo (syllable)
  shuo-lin → lin (syllable)
  shuo-sou → shuo (syllable)
  shuo-yin → shuo (syllable)
  shuo-zhuo → shuo (syllable)
  si → si (exact)
  si → si (syllable)
  si-ge → si (syllable)
  si-hou → si (syllable)
  si-mo → si (syllable)
  si-mu → si (syllable)
  si-mu → mu (syllable)
  si-sen → si (syllable)
  si-zhai → si (syllable)
  song-ye → ye (syllable)
  sou-yu → yu (syllable)
  sou-zai → zai (syllable)
  suan-chi → chi (syllable)
  suan-chuang → chuang (syllable)
  suan-fu-ju → fu (syllable)
  suan-shuo → shuo (syllable)
  sui-qu → qu (syllable)
  sun-hui-bu → bu (syllable)
  sun-kan → kan (syllable)
  sun-wan → wan (syllable)
  suo → suo (exact)
  suo → suo (syllable)
  suo-lei → suo (syllable)
  suo-niao → suo (syllable)
  suo-pai → suo (syllable)
  suo-zhua → suo (syllable)
  ta → ta (exact)
  ta → ta (syllable)
  ta-kun → ta (syllable)
  ta-song → ta (syllable)
  ta-tiao → ta (syllable)
  ta-tiao → tiao (syllable)
  ta-yao → ta (syllable)
  tan-da → da (syllable)
  tan-tun-yu → yu (syllable)
  tan-wei → wei (syllable)
  tang-bai → bai (syllable)
  tang-jiao → jiao (syllable)
  ti-de → de (syllable)
  tian-cun → tian (syllable)
  tian-cun → cun (syllable)
  tian-dai → tian (syllable)
  tian-gua → tian (syllable)
  tian-guai → tian (syllable)
  tian-ha → tian (syllable)
  tian-he → tian (syllable)
  tian-he → he (syllable)
  tian-hen → tian (syllable)
  tian-jian → tian (syllable)
  tian-jie → tian (syllable)
  tian-pin → tian (syllable)
  tian-ruo → tian (syllable)
  tian-ruo → ruo (syllable)
  tian-xing → tian (syllable)
  tiao-chou → tiao (syllable)
  tiao-heng → tiao (syllable)
  tiao-liu → tiao (syllable)
  tiao-liu → liu (syllable)
  tiao-ne → tiao (syllable)
  tiao-ne → ne (syllable)
  tiao-xuan → tiao (syllable)
  tie-dei → dei (syllable)
  ting-cen → ting (syllable)
  ting-gen → ting (syllable)
  ting-gua → ting (syllable)
  ting-jia → ting (syllable)
  ting-nie → ting (syllable)
  ting-tui → ting (syllable)
  tou-fu → fu (syllable)
  tou-shuo → shuo (syllable)
  tu-lai → lai (syllable)
  tuan-ye → ye (syllable)
  tui-tiao → tiao (syllable)
  tuo-cheng → cheng (syllable)
  tuo-lin → lin (syllable)
  wa-shuo → shuo (syllable)
  wan → wan (exact)
  wan → wan (syllable)
  wan-ang → wan (syllable)
  wan-chang-ya → wan (syllable)
  wan-chang-ya → chang (syllable)
  wan-gang → wan (syllable)
  wan-lang → wan (syllable)
  wang-hu-su → hu (syllable)
  wei → wei (exact)
  wei → wei (syllable)
  wei-bin → wei (syllable)
  wei-heng → wei (syllable)
  weng-liu → liu (syllable)
  wo → wo (exact)
  wo → wo (syllable)
  wo-ba → wo (syllable)
  wo-ba → ba (syllable)
  wo-jiao → wo (syllable)
  wo-jiao → jiao (syllable)
  wo-lun → wo (syllable)
  wo-nang → wo (syllable)
  wu → wu (exact)
  wu → wu (syllable)
  wu-ding → wu (syllable)
  wu-gui → wu (syllable)
  wu-hong → wu (syllable)
  wu-hong → hong (syllable)
  wu-hun → wu (syllable)
  wu-jia → wu (syllable)
  wu-nou → wu (syllable)
  wu-nu → wu (syllable)
  wu-peng → wu (syllable)
  wu-que → wu (syllable)
  wu-shou → wu (syllable)
  wu-wei → wu (syllable)
  wu-wei → wei (syllable)
  wu-xuan → wu (syllable)
  xi-suo → suo (syllable)
  xia-fo → fo (syllable)
  xia-zou → zou (syllable)
  xian-miao → miao (syllable)
  xiang-ba → ba (syllable)
  xiao-ce → xiao (syllable)
  xiao-diu → xiao (syllable)
  xiao-lou → xiao (syllable)
  xiao-na-shu → xiao (syllable)
  xiao-na-shu → shu (syllable)
  xiao-ri → xiao (syllable)
  xiao-ri → ri (syllable)
  xiao-zhuang → xiao (syllable)
  xie → xie (exact)
  xie → xie (syllable)
  xie-sao → xie (syllable)
  xie-zang-san → xie (syllable)
  xie-zang-san → san (syllable)
  xing-bu-sa → bu (syllable)
  xing-wan → wan (syllable)
  xiu-nei → nei (syllable)
  xu-gan-dei → dei (syllable)
  xu-lin → lin (syllable)
  xu-pu-nei → nei (syllable)
  xuan-fu → fu (syllable)
  xuan-nei → nei (syllable)
  xuan-ze → ze (syllable)
  xue → xue (exact)
  xue → xue (syllable)
  xue-han → xue (syllable)
  xue-kuan → xue (syllable)
  xue-min-cuan → xue (syllable)
  xue-mo → xue (syllable)
  xue-xian → xue (syllable)
  xue-yi → xue (syllable)
  xue-yi → yi (syllable)
  xue-zhuan → xue (syllable)
  yan → yan (exact)
  yan → yan (syllable)
  yan-ang → yan (syllable)
  yan-gu → yan (syllable)
  yan-gu → gu (syllable)
  yan-mie → yan (syllable)
  yan-zuan → yan (syllable)
  ye → ye (exact)
  ye → ye (syllable)
  ye-cai → ye (syllable)
  ye-dong → ye (syllable)
  ye-fen → ye (syllable)
  ye-hu → ye (syllable)
  ye-hu → hu (syllable)
  ye-kua → ye (syllable)
  yi-fo → yi (syllable)
  yi-fo → fo (syllable)
  yi-hei-fan → yi (syllable)
  yi-hei-fan → hei (syllable)
  yi-jue → yi (syllable)
  yi-ka → yi (syllable)
  yi-ming → yi (syllable)
  yi-nen → yi (syllable)
  yi-peng → yi (syllable)
  yin-ne → ne (syllable)
  yin-zhe → zhe (syllable)
  ying-dei → dei (syllable)
  ying-hua → hua (syllable)
  ying-liu → liu (syllable)
  yong-huo → huo (syllable)
  you → you (exact)
  you → you (syllable)
  you-bing → you (syllable)
  you-hu → you (syllable)
  you-hu → hu (syllable)
  yu → yu (exact)
  yu → yu (syllable)
  yu-bin → yu (syllable)
  yu-fa → yu (syllable)
  yu-ga → yu (syllable)
  yu-hua → yu (syllable)
  yu-hua → hua (syllable)
  yu-jun → yu (syllable)
  yu-kao → yu (syllable)
  yu-wa-hun → yu (syllable)
  yuan-lan → lan (syllable)
  yue → yue (exact)
  yue → yue (syllable)
  yue-cu → yue (syllable)
  yue-ren → yue (syllable)
  yue-ren → ren (syllable)
  yue-you → yue (syllable)
  yue-you → you (syllable)
  yue-yu-en → yue (syllable)
  yue-yu-en → yu (syllable)
  yue-zha → yue (syllable)
  zai → zai (exact)
  zai → zai (syllable)
  zai-ji → zai (syllable)
  zai-ji → ji (syllable)
  zai-lian → zai (syllable)
  zai-sai → zai (syllable)
  zai-wu → zai (syllable)
  zai-wu → wu (syllable)
  zai-zhun → zai (syllable)
  zan-de → de (syllable)
  zan-di → di (syllable)
  zan-hu → hu (syllable)
  zan-ren → ren (syllable)
  zan-ye → ye (syllable)
  ze → ze (exact)
  ze → ze (syllable)
  ze-ban-yuan → ze (syllable)
  zei-fu → fu (syllable)
  zei-hua → hua (syllable)
  zei-men → men (syllable)
  zei-shi → shi (syllable)
  zen-fu → fu (syllable)
  zha-hao → hao (syllable)
  zhan-chong → zhan (syllable)
  zhan-deng → zhan (syllable)
  zhan-fa-bian → zhan (syllable)
  zhan-heng → zhan (syllable)
  zhan-ne → zhan (syllable)
  zhan-ne → ne (syllable)
  zhan-ti → zhan (syllable)
  zhang-ji → ji (syllable)
  zhang-le → le (syllable)
  zhao-ruo → ruo (syllable)
  zhao-shui → shui (syllable)
  zhe → zhe (exact)
  zhe → zhe (syllable)
  zhe-cao-jian → zhe (syllable)
  zhe-chu-o → zhe (syllable)
  zhe-gua → zhe (syllable)
  zhe-ni → zhe (syllable)
  zhe-ni → ni (syllable)
  zhe-qin → zhe (syllable)
  zhe-ren → zhe (syllable)
  zhe-ren → ren (syllable)
  zhe-tui → zhe (syllable)
  zhe-za → zhe (syllable)
  zhen-ba → zhen (syllable)
  zhen-ba → ba (syllable)
  zhen-diu-jun → zhen (syllable)
  zhen-si → zhen (syllable)
  zhen-si → si (syllable)
  zhen-tuo → zhen (syllable)
  zhen-zhe → zhen (syllable)
  zhen-zhe → zhe (syllable)
  zhi → zhi (exact)
  zhi → zhi (syllable)
  zhi-dia → zhi (syllable)
  zhi-mou → zhi (syllable)
  zhi-mou → mou (syllable)
  zhi-nun → zhi (syllable)
  zhi-re → zhi (syllable)
  zhi-zhai → zhi (syllable)
  zhong-yue → yue (syllable)
  zhong-ze → ze (syllable)
  zhu-da → da (syllable)
  zhua-lai → lai (syllable)
  zhuai-hu → hu (syllable)
  zhuang-wei → wei (syllable)
  zhui-lai → lai (syllable)
  zhui-liu → liu (syllable)
  zhun-pao → pao (syllable)
  zhun-shuo → shuo (syllable)
  zong-ba → ba (syllable)
  zong-ting → ting (syllable)
  zou → zou (exact)
  zou → zou (syllable)
  zou-en → zou (syllable)
  zou-gui → zou (syllable)
  zu-huai → huai (syllable)
  zu-ji → ji (syllable)
  zu-ting → ting (syllable)
  zu-zai → zai (syllable)
  zuan-zhi → zhi (syllable)
  zui-si → si (syllable)
  zun-che → che (syllable)
  zun-gao → gao (syllable)
  zun-xiao → xiao (syllable)
  zuo → zuo (exact)
  zuo → zuo (syllable)
  zuo-chao → zuo (syllable)
  zuo-deng → zuo (syllable)
  zuo-duo → zuo (syllable)
  zuo-hu → zuo (syllable)
  zuo-hu → hu (syllable)
  zuo-huan → zuo (syllable)
  zuo-tian → zuo (syllable)
  zuo-tian → tian (syllable)
  zuo-zen → zuo (syllable)
  zuo-zhou → zuo (syllable)
  zuo-zhui → zuo (syllable)


PHONETICALLY SIMILAR (>70%):
Found 1169 similar words

  bai ↔ bai (100.00%)
  bai ↔ bai (100.00%)
  che ↔ che (100.00%)
  chi ↔ chi (100.00%)
  chuang ↔ chuang (100.00%)
  cun ↔ cun (100.00%)
  dei ↔ dei (100.00%)
  duan ↔ duan (100.00%)
  feng ↔ feng (100.00%)
  gao ↔ gao (100.00%)
  guo ↔ guo (100.00%)
  hai ↔ hai (100.00%)
  hao ↔ hao (100.00%)
  hei ↔ hei (100.00%)
  hong ↔ hong (100.00%)
  hua ↔ hua (100.00%)
  huai ↔ huai (100.00%)
  huo ↔ huo (100.00%)
  jiao ↔ jiao (100.00%)
  jiu ↔ jiu (100.00%)
  kan ↔ kan (100.00%)
  lai ↔ lai (100.00%)
  lai ↔ lai (100.00%)
  lan ↔ lan (100.00%)
  lin ↔ lin (100.00%)
  liu ↔ liu (100.00%)
  men ↔ men (100.00%)
  mou ↔ mou (100.00%)
  nai ↔ nai (100.00%)
  nei ↔ nei (100.00%)
  pao ↔ pao (100.00%)
  ren ↔ ren (100.00%)
  ruo ↔ ruo (100.00%)
  san ↔ san (100.00%)
  shi ↔ shi (100.00%)
  shi ↔ shi (100.00%)
  shu ↔ shu (100.00%)
  shui ↔ shui (100.00%)
  shui ↔ shui (100.00%)
  suo ↔ suo (100.00%)
  wan ↔ wan (100.00%)
  wei ↔ wei (100.00%)
  xie ↔ xie (100.00%)
  xie ↔ xie (100.00%)
  xue ↔ xue (100.00%)
  yan ↔ yan (100.00%)
  you ↔ you (100.00%)
  yue ↔ yue (100.00%)
  yue ↔ yue (100.00%)
  zai ↔ zai (100.00%)
  zhe ↔ zhe (100.00%)
  zhi ↔ zhi (100.00%)
  zou ↔ zou (100.00%)
  zuo ↔ zuo (100.00%)
  chu-fang ↔ chuang (92.31%)
  chu-mang ↔ chuang (92.31%)
  chuang ↔ chang (90.91%)
  chuang ↔ huang (90.91%)
  o-chang ↔ chang (90.91%)
  a-qian ↔ qian (88.89%)
  cang ↔ chang (88.89%)
  ceng ↔ cheng (88.89%)
  chan ↔ chang (88.89%)
  chen ↔ cheng (88.89%)
  hang ↔ chang (88.89%)
  hang ↔ huang (88.89%)
  heng ↔ cheng (88.89%)
  huan ↔ huang (88.89%)
  ji-tao ↔ jiao (88.89%)
  jia-ge ↔ jige (88.89%)
  sha-na ↔ shan (88.89%)
  su-han ↔ shan (88.89%)
  xia-fo ↔ xiao (88.89%)
  zhe-ni ↔ zhen (88.89%)
  cha-huang ↔ chuang (85.71%)
  chai ↔ chi (85.71%)
  chai ↔ hai (85.71%)
  chao ↔ hao (85.71%)
  chen ↔ che (85.71%)
  chi-guang ↔ chuang (85.71%)
  chu-a ↔ hua (85.71%)
  chua ↔ hua (85.71%)
  chuang-xi ↔ chuang (85.71%)
  chui ↔ chi (85.71%)
  chun ↔ cun (85.71%)
  chuo ↔ huo (85.71%)
  cu-zhuang ↔ chuang (85.71%)
  cuan ↔ cun (85.71%)
  dan ↔ duan (85.71%)
  dun ↔ duan (85.71%)
  en-ei ↔ nei (85.71%)
  en-zong ↔ fenzhong (85.71%)
  eng ↔ feng (85.71%)
  fen ↔ feng (85.71%)
  hai ↔ huai (85.71%)
  han ↔ shan (85.71%)
  han ↔ zhan (85.71%)
  hei ↔ shei (85.71%)
  hei ↔ heoi (85.71%)
  hen ↔ zhen (85.71%)
  hu-wa ↔ hua (85.71%)
  hua ↔ huai (85.71%)
  huai ↔ hua (85.71%)
  huai ↔ hai (85.71%)
  huan ↔ hua (85.71%)
  huo ↔ shuo (85.71%)
  jia ↔ jiao (85.71%)
  jian ↔ jan (85.71%)
  jie ↔ jige (85.71%)
  juan ↔ jan (85.71%)
  kang ↔ kan (85.71%)
  kei ↔ keoi (85.71%)
  kuan ↔ kan (85.71%)
  lang ↔ lan (85.71%)
  lian ↔ lan (85.71%)
  lian ↔ lin (85.71%)
  mao ↔ miao (85.71%)
  nan ↔ nian (85.71%)
  ne-bi ↔ nei (85.71%)
  nin ↔ nian (85.71%)
  qia ↔ qian (85.71%)
  qin ↔ qian (85.71%)
  san ↔ shan (85.71%)
  se-li ↔ sei (85.71%)
  se-qi ↔ sei (85.71%)
  se-si ↔ sei (85.71%)
  sha ↔ shan (85.71%)
  she ↔ shei (85.71%)
  shi ↔ shui (85.71%)
  shi ↔ shui (85.71%)
  shi ↔ shei (85.71%)
  shu ↔ shuo (85.71%)
  shu ↔ shui (85.71%)
  shu ↔ shui (85.71%)
  shui ↔ shi (85.71%)
  shui ↔ shi (85.71%)
  shui ↔ shu (85.71%)
  sui ↔ shui (85.71%)
  sui ↔ shui (85.71%)
  suo ↔ shuo (85.71%)
  tan ↔ tian (85.71%)
  tan ↔ tian (85.71%)
  tao ↔ tiao (85.71%)
  xia ↔ xiao (85.71%)
  xiong-qia ↔ xingqi (85.71%)
  zai-lian ↔ zaijian (85.71%)
  zan ↔ zhan (85.71%)
  zen ↔ zhen (85.71%)
  zha ↔ zhan (85.71%)
  zhai ↔ hai (85.71%)
  zhai ↔ zhi (85.71%)
  zhai ↔ zai (85.71%)
  zhe ↔ zhen (85.71%)
  zhuo ↔ huo (85.71%)
  zhuo ↔ zuo (85.71%)
  cha-cong ↔ chang (83.33%)
  cha-jing ↔ chang (83.33%)
  che-hong ↔ cheng (83.33%)
  cheng-lu ↔ cheng (83.33%)
  chu-fang ↔ chang (83.33%)
  chu-fang ↔ huang (83.33%)
  chu-mang ↔ chang (83.33%)
  chu-mang ↔ huang (83.33%)
  da-cheng ↔ cheng (83.33%)
  hua-ping ↔ huang (83.33%)
  hua-rang ↔ huang (83.33%)
  hua-weng ↔ huang (83.33%)
  huang-fu ↔ huang (83.33%)
  hun-bang ↔ huang (83.33%)
  mei-pei ↔ meimei (83.33%)
  ming-qi ↔ xingqi (83.33%)
  nei-mei ↔ meimei (83.33%)
  nei-mei ↔ neidei (83.33%)
  o-chang ↔ chuang (83.33%)
  she-nei ↔ shenme (83.33%)
  xin-gei ↔ xingqi (83.33%)
  zai-ji ↔ zaijian (83.33%)
  zhu-kang ↔ huang (83.33%)
  feng-zheng ↔ fenzhong (82.35%)
  seng-zhong ↔ fenzhong (82.35%)
  weng-zhong ↔ fenzhong (82.35%)
  ang ↔ ng (80.00%)
  bai ↔ ba (80.00%)
  bai ↔ ba (80.00%)
  bai ↔ ba (80.00%)
  ban ↔ ba (80.00%)
  ban ↔ ba (80.00%)
  ban ↔ ba (80.00%)
  bao ↔ ba (80.00%)
  bao ↔ ba (80.00%)
  bao ↔ ba (80.00%)
  bi-zhen ↔ zhen (80.00%)
  cang ↔ chuang (80.00%)
  cang-huang ↔ chuang (80.00%)
  chan ↔ chuang (80.00%)
  che ↔ he (80.00%)
  chu ↔ hu (80.00%)
  chu-a ↔ chuang (80.00%)
  chua ↔ chuang (80.00%)
  chua-cheng ↔ chuang (80.00%)
  chuai-geng ↔ chuang (80.00%)
  chuai-teng ↔ chuang (80.00%)
  chuang-cao ↔ chuang (80.00%)
  chuang-hun ↔ chuang (80.00%)
  chuang-rui ↔ chuang (80.00%)
  chun ↔ chuang (80.00%)
  chuo-niang ↔ chuang (80.00%)
  ci-shuo ↔ shuo (80.00%)
  cuan ↔ chuang (80.00%)
  da-shuo ↔ shuo (80.00%)
  dai ↔ di (80.00%)
  dai ↔ da (80.00%)
  dai ↔ di (80.00%)
  dan ↔ da (80.00%)
  dao ↔ da (80.00%)
  de-tian ↔ tian (80.00%)
  de-tian ↔ tian (80.00%)
  dei ↔ di (80.00%)
  dei ↔ di (80.00%)
  dei ↔ de (80.00%)
  dia-dei ↔ didi (80.00%)
  die ↔ di (80.00%)
  die ↔ di (80.00%)
  die ↔ de (80.00%)
  diu ↔ di (80.00%)
  diu ↔ di (80.00%)
  diu ↔ du (80.00%)
  dou ↔ du (80.00%)
  duan-ri ↔ duan (80.00%)
  dui ↔ di (80.00%)
  dui ↔ di (80.00%)
  dui ↔ du (80.00%)
  dui-dan ↔ duan (80.00%)
  dun ↔ du (80.00%)
  duo ↔ du (80.00%)
  duo-wan ↔ duan (80.00%)
  eng ↔ ng (80.00%)
  fang ↔ fangzi (80.00%)
  feng-su ↔ feng (80.00%)
  fou ↔ fo (80.00%)
  fou ↔ fu (80.00%)
  ge-shui ↔ shui (80.00%)
  ge-shui ↔ shui (80.00%)
  gou ↔ gu (80.00%)
  gu-shuo ↔ shuo (80.00%)
  gua ↔ gu (80.00%)
  gui ↔ gu (80.00%)
  gun ↔ gu (80.00%)
  guo ↔ gu (80.00%)
  ha-gong ↔ hong (80.00%)
  ha-shui ↔ shui (80.00%)
  ha-shui ↔ shui (80.00%)
  hang ↔ chuang (80.00%)
  hei ↔ he (80.00%)
  hen ↔ he (80.00%)
  hong-la ↔ hong (80.00%)
  hou ↔ hu (80.00%)
  hu-ting ↔ ting (80.00%)
  hua ↔ hu (80.00%)
  huai-yu ↔ huai (80.00%)
  huan ↔ chuang (80.00%)
  hun ↔ hu (80.00%)
  huo ↔ hu (80.00%)
  ji-diao ↔ jiao (80.00%)
  jia ↔ ji (80.00%)
  jiao-fo ↔ jiao (80.00%)
  jie ↔ ji (80.00%)
  jin ↔ ji (80.00%)
  jiu ↔ ji (80.00%)
  ju-zhan ↔ zhan (80.00%)
  ka-ting ↔ ting (80.00%)
  ke-nian ↔ nian (80.00%)
  ke-shuo ↔ shuo (80.00%)
  lei ↔ le (80.00%)
  lie ↔ le (80.00%)
  lue ↔ le (80.00%)
  ma-nian ↔ nian (80.00%)
  mai ↔ ma (80.00%)
  mai ↔ ma (80.00%)
  man ↔ ma (80.00%)
  man ↔ ma (80.00%)
  mao ↔ ma (80.00%)
  mao ↔ ma (80.00%)
  mao-chuang ↔ chuang (80.00%)
  mi-shui ↔ shui (80.00%)
  mi-shui ↔ shui (80.00%)
  mian-ao ↔ miao (80.00%)
  miao-ao ↔ miao (80.00%)
  miao-gu ↔ miao (80.00%)
  miao-ju ↔ miao (80.00%)
  miao-ke ↔ miao (80.00%)
  mie-nao ↔ miao (80.00%)
  min-mao ↔ miao (80.00%)
  miu ↔ mu (80.00%)
  mo-shan ↔ shan (80.00%)
  mou ↔ mu (80.00%)
  nai ↔ ni (80.00%)
  nai-yan ↔ nian (80.00%)
  ne-bian ↔ nian (80.00%)
  nei ↔ ni (80.00%)
  nei ↔ ne (80.00%)
  nen ↔ ne (80.00%)
  ni-lian ↔ nian (80.00%)
  nian-de ↔ nian (80.00%)
  nian-pa ↔ nian (80.00%)
  nian-pu ↔ nian (80.00%)
  nian-se ↔ nian (80.00%)
  nin ↔ ni (80.00%)
  niu ↔ ni (80.00%)
  nue ↔ ne (80.00%)
  ou-jiao ↔ jiao (80.00%)
  pu-feng ↔ feng (80.00%)
  pu-miao ↔ miao (80.00%)
  qi-pang ↔ qian (80.00%)
  qi-xiao ↔ xiao (80.00%)
  qia ↔ qi (80.00%)
  qia ↔ qi (80.00%)
  qie ↔ qi (80.00%)
  qie ↔ qi (80.00%)
  qie-ban ↔ qian (80.00%)
  qin ↔ qi (80.00%)
  qin ↔ qi (80.00%)
  qiu ↔ qu (80.00%)
  qiu ↔ qi (80.00%)
  qiu ↔ qi (80.00%)
  qu-xiao ↔ xiao (80.00%)
  qu-zhan ↔ zhan (80.00%)
  qu-zhen ↔ zhen (80.00%)
  que ↔ qu (80.00%)
  qun ↔ qu (80.00%)
  rui ↔ ri (80.00%)
  rui ↔ ri (80.00%)
  sai ↔ si (80.00%)
  se-duan ↔ duan (80.00%)
  sha-wei ↔ shei (80.00%)
  she ↔ he (80.00%)
  she-nei ↔ shei (80.00%)
  she-pin ↔ shei (80.00%)
  she-xia ↔ shei (80.00%)
  shi ↔ si (80.00%)
  shu ↔ hu (80.00%)
  shu-lan ↔ shan (80.00%)
  shui-ai ↔ shui (80.00%)
  shui-ai ↔ huai (80.00%)
  shui-ai ↔ shui (80.00%)
  shui-wu ↔ shui (80.00%)
  shui-wu ↔ shui (80.00%)
  shun-an ↔ shan (80.00%)
  sui ↔ si (80.00%)
  ta-tiao ↔ tiao (80.00%)
  tai ↔ ta (80.00%)
  tan ↔ ta (80.00%)
  tao ↔ ta (80.00%)
  te-bian ↔ tian (80.00%)
  te-bian ↔ tian (80.00%)
  tian-ha ↔ tian (80.00%)
  tian-ha ↔ tian (80.00%)
  tian-he ↔ tian (80.00%)
  tian-he ↔ tian (80.00%)
  tiao-ne ↔ tian (80.00%)
  tiao-ne ↔ tian (80.00%)
  tiao-ne ↔ tiao (80.00%)
  tie-tao ↔ tiao (80.00%)
  wa-shuo ↔ shuo (80.00%)
  wo-jiao ↔ jiao (80.00%)
  wu-hong ↔ hong (80.00%)
  xia-zou ↔ xiao (80.00%)
  xiang-o ↔ xiao (80.00%)
  xiao-ce ↔ xiao (80.00%)
  xiao-ri ↔ xiao (80.00%)
  xie-sao ↔ xiao (80.00%)
  yin ↔ yi (80.00%)
  yin ↔ yi (80.00%)
  you ↔ yu (80.00%)
  yue ↔ ye (80.00%)
  yue ↔ yu (80.00%)
  yun ↔ yu (80.00%)
  zei ↔ ze (80.00%)
  zei ↔ ze (80.00%)
  zen ↔ ze (80.00%)
  zen ↔ ze (80.00%)
  zhan-ne ↔ zhan (80.00%)
  zhan-ti ↔ zhan (80.00%)
  zhe ↔ he (80.00%)
  zhe ↔ ze (80.00%)
  zhe ↔ ze (80.00%)
  zhe-qin ↔ zhen (80.00%)
  zhe-ren ↔ zhen (80.00%)
  zhen-ba ↔ zhen (80.00%)
  zhen-si ↔ zhen (80.00%)
  zhu ↔ hu (80.00%)
  zhui-ai ↔ huai (80.00%)
  zhuo ↔ zhuozi (80.00%)
  zu-huai ↔ huai (80.00%)
  zu-ting ↔ ting (80.00%)
  cai-zheng ↔ cheng (76.92%)
  cao-huan ↔ chuang (76.92%)
  cha-cong ↔ chuang (76.92%)
  cha-huang ↔ chang (76.92%)
  cha-huang ↔ huang (76.92%)
  cha-jing ↔ chuang (76.92%)
  cha-jiong ↔ chang (76.92%)
  chan-geng ↔ chang (76.92%)
  chan-geng ↔ cheng (76.92%)
  chan-mang ↔ chang (76.92%)
  chan-nong ↔ chang (76.92%)
  chang-man ↔ chang (76.92%)
  chang-run ↔ chang (76.92%)
  chang-ruo ↔ chang (76.92%)
  chang-yan ↔ chang (76.92%)
  chao-teng ↔ chang (76.92%)
  chao-teng ↔ cheng (76.92%)
  chi-guang ↔ chang (76.92%)
  chi-guang ↔ huang (76.92%)
  chi-shang ↔ chang (76.92%)
  chua-gui ↔ chuang (76.92%)
  chuang-xi ↔ chang (76.92%)
  chuang-xi ↔ huang (76.92%)
  chui-kan ↔ chuang (76.92%)
  chun-gan ↔ chuang (76.92%)
  chun-man ↔ chuang (76.92%)
  chuo-zui ↔ zhuozi (76.92%)
  cou-chang ↔ chang (76.92%)
  cu-shao ↔ duoshao (76.92%)
  cu-zhuang ↔ chang (76.92%)
  cu-zhuang ↔ huang (76.92%)
  cuan-gai ↔ chuang (76.92%)
  cuo-pang ↔ chuang (76.92%)
  duo-pao ↔ duoshao (76.92%)
  fang-jin ↔ fangzi (76.92%)
  ge-chuan ↔ chuang (76.92%)
  gu-chuan ↔ chuang (76.92%)
  hai-jin ↔ zaijian (76.92%)
  he-shuang ↔ huang (76.92%)
  hua-ping ↔ chuang (76.92%)
  hua-rang ↔ chuang (76.92%)
  hua-weng ↔ chuang (76.92%)
  huai-bing ↔ huang (76.92%)
  huang-fu ↔ chuang (76.92%)
  huang-tie ↔ huang (76.92%)
  hun-bang ↔ chuang (76.92%)
  ning-qiu ↔ xingqi (76.92%)
  ping-qin ↔ xingqi (76.92%)
  qi-chuan ↔ chuang (76.92%)
  rui-huang ↔ huang (76.92%)
  tuo-cheng ↔ cheng (76.92%)
  xian-gai ↔ xingqi (76.92%)
  xian-qiu ↔ xingqi (76.92%)
  xiao-ri ↔ xiaoshi (76.92%)
  xing-lie ↔ xingqi (76.92%)
  ying-dei ↔ ngodei (76.92%)
  zao-jia ↔ zaijian (76.92%)
  zhu-kang ↔ chuang (76.92%)
  zhuang-en ↔ huang (76.92%)
  zhuang-mi ↔ huang (76.92%)
  zhun-sang ↔ huang (76.92%)
  zhuo-xia ↔ zhuozi (76.92%)
  zuo-zhui ↔ zhuozi (76.92%)
  a-yang ↔ yan (75.00%)
  an-guo ↔ guo (75.00%)
