0	kong
lis	hulo-bi
lis używający tygrysiej siły	tigo-lun
lis używający tygrysiej siły (idiom)	tigo-lun
list	kan-duo
list, korespondencja	kan-duo
litera	o-tai
literat	kai-du
literatura	dang-ti
litościwy	hou-ke
liście herbaty	qiu-pang
liść	xiu
liść drzewa	shen-cun
lodowaty	zeng-luan
lodowaty, mroźny	zeng-luan
lodowiec	den-nen
lodówka	sui-pang
lojalność	ci-shuo
lojalność	mo-chou
lojalny	qian-wen
longan	zuo-duo
los	leng-dou
los	piao-pai
los, przeznaczenie	piao-pai
lotnisko	tu-dong
lotos	muo-qun
lubić	re
lud	gun-ci
ludność	bing-lie
ludzkość	jue-kao
lue-Xue i Kao-Fa	xiaoo-diu
lue-Xue nerek	zao-xiong
lukrecja	san-chuo
lutnia chińska	guan-ruan
lód	zen
lśniący	diu-zhai
lśniący, błyszczący	diu-zhai
machać ręką	kun-beng
magazyn	lan-re
maitreya	sha-hou
maitreya (przyszły Budda)	sha-hou
makaron	miano-dui
makaron w zupie	miano-wu
makrel	ran-tie
malarstwo	hua-weng
malarstwo pejzażowe	hua-ba-ba
malarz	hua-ren
maleńki	mang-lao
maleńki, drobny	mang-lao
malować obrazy	hua-ba
mandarynka	guoo-en
mandat Niebios	bin-he
marchew	caio-pian
markiz	shun-bie
marmur	ne-cuan-wo
marnować	za-rua
marszałek	bian-huang
martwy	luo
marynarka	lei-dan
marzenie	dian-kan
marzenie, sen	dian-kan
marzenie, sen (aspiracja)	dian-kan
masaż	suan-chuang
maska	die-hai
mata	ken-xing
mata	suo-niao
mata (do siedzenia)	suo-niao
matematyka	cou-ruo
materiał	chuan-zhuo
matka	rua
mała łódź	shun-nen
małe dojrzewanie	nian-hen
małe dziecko	he-nue
mało	min
małpa	houo-nai
mały bęben	liao-xiang
mały chłód	zhan-deng
mały deszcz	yuo-ke
mały upał	ding-zei
mały śnieg	xueo-bai
mdłości	nian-pu
meble	cao-kuai
meduza	zheo-kua
medytować	pa-hen
medytować (ogólnie)	pa-hen
melodia	nie-he
melon zimowy	guoo-ying
meridiany	jing-luo
merydian	jing-lou
metafora	lou-fan
metal	zouo
meteor	guango-sun
meteor, spadająca gwiazda	guango-sun
meteoryt	beng-ze
metoda	bang-guai
metoda	chai-mie
metoda serca	xiang-zhang
metoda serca/umysłu	xiang-zhang
metropolia	pi-meng
mglisty	diu-hei
mgła i opary	wuo-shi
miasto	jiong-seng
miasto	tie
miecz	fen-mai
miecz	zuoo
miecz Trzech Przysiąg	cang-liu-zhang
miednica	jing-rang
miejsce	re-mang
mierzyć	beng-chuan
miesiąc	keng
mieszać	bano-xin
mieszać (składniki)	bano-xin
mieszkanie	dan-lang
mieć	an
mieć	pang-hang
mieć biegunkę	zhe-cao-jian
mieć gorączkę	qio-shi
mieć granice	qie-min
mieć spotkanie	keng-shun
mikroskopijny	li-gei-ka
milion	bai-wan
miotła	tuan-que
miska	gong
mistrz	chen-zhang
mistrz	cheng-chen
mistrz (honorowy tytuł)	chen-zhang
mistrz (ogólne	cheng-chen
mistrz (ogólne, szanujące)	cheng-chen
mistrz (tytuł honor.)	chen-zhang
mistrz sztuk walki	guo-zhui-zheng
mit	huai-bing
mityczna opowieść	ca-zhun-suan
mityczne zwierzę	dongo-kao
miu-Du i krew	ke-za
miąższ owocu	duano-sai
miękka droga	chuang-cao
miękka droga (japoński termin)	chuang-cao
miękka siła	dui-dan
miękki	jiuo
miękkie drewno	lu-nue
mięsień	wu-que
mięso	rouo
mięta	pi-yu
miłość	qu-zhou
miłość (rzeczownik)	qu-zhou
miłość romantyczna	qu-san
mleko	naio-ta
mleko sojowe	naio-bao
mnich buddyjski	man-dui
mniej	sa-dei
moc	zhi-zhai
mocny	hai
modlić się	sa-qiao
mokradła	huai-luan
mokradła	wan-ang
mokry	shio-wai
monarcha	zhun-cui
moneta	xun-zong
moneta miedziana	bin-hei
moralność	zhi-dia
morela	guoo-biao
morska fala	bao-zong
morwa	hua-nuan
morze	haio
motocykl	jue-han-ga
motyka	sen-fou
motyl	dieo-mao
może	meno
możliwe	kai-eng
możliwość	yi-hei-fan
można	pao-he
mroźny	zeng-luan
mrówka	yio-qiong
mu-ling	jiang-zhua
mundur	run-rua
mundur wojskowy	fou-wang
mur miejski	neng-huan
musieć	hu
muszla	beo-za
muszla, skorupiak	beo-za
muzeum	nano-geng-cao
muzyk	ban-gou
muzyk	yue-ren
muł	chun-guan
muślin	ca-zui
my	lano
mysz	rao-mo
mysz, szczur	rao-mo
myć	cha-jing
myć podłogę	cha-qiu
myć twarz	cha-huai
myśleć	geo
myśli)	mie-tang
myśliwy	cao-ceng
mówić	bi
mózg	meng-ya
mądrość	dai-te
mądry	geng-wai
mądry	kai-ha
mądry, inteligentny	geng-wai
mąż	juan-nie
mąż cioci	tao-deng
mężczyzna	qun
mężny	sou-yu
mężny, nieustraszony	sou-yu
młodsza współuczennica	jian-chun
młodsze)	jue-keng
młodszy generał	ran-niang
młody	duoo
młot	liao-ang
młotek	chuang-xi
mżawka	wan-chang-ya
na podstawie	zhuang-wei
naczelnik powiatu	zu-wa
naczynia stołowe	xiong-mei
naczynie	ei-cuo
naczynie krwionośne	qiao-lei
naczynie, przyrząd	ei-cuo
nad ranem	ren-re
nadmiernie	nang-niang
nadzieja	di-zao
nagle	niu-zuan
nagolennice	diao-gei
nagroda wojenna	hou-ku
najbardziej	lie-gong
najlepiej	dian-liao
najwyższa ostateczność	niao-tuan
najwyższa ostateczność (Taiji)	niao-tuan
najwyższy	wen-gai
nalewać wodę	zhuang-tao
naleśnik	shuo-sou
namiestnik	na-hei
namiot	lie-luan
napierśnik	cu-guan-gun
naprawdę?	suan-fu-ju
naprawiać	hei-bie
naprzeciwko	seng-zui
naramienniki	nao-guo
narracja	chi-cong
narracja, opowiadanie	chi-cong
naruszyć	wen-fang
naruszyć (zasadę)	wen-fang
narzędzia ogrodnicze	ling-nian-fo
narzędzia rolnicze	gan-tai
narzędzie	kun-guan
naręcznice	long-long
nasiona lotosu	zhono-qia
nasiono	zhono-chan
następca tronu	huo-hong
następny	qia-fen-ling
następnym razem	zhuan-po
naszyjnik	xiong-qia
natura	ao-long
natura serca	cu-ti
natura serca/umysłu	cu-ti
natura, charakter	ao-long
natura, charakter (rzeczy)	ao-long
natychmiast	chun-xue
natychmiast	zei-shi
natychmiastowy	chi-she
nauczać	niang-fan
nauczyciel	ma-ren
nauczyciel pięściarstwa	ma-nian
nauczyć się	ma-ju
nauka	ma-an
nauka Fen-Mai	ma-dou
nauka Xiao-Diu	ma-bai
nauka walki	ma-zuan
nauka walki, sztuki	ma-zuan
naukowiec	tan-tun-yu
nawadniać	yang-wai
nawozić	pa-ban
nawóz	cong-geng
negacja	daoo
negacja (nie)	daoo
negocjacje	su-han
negować	nei-yue
nerka	duan-cuan
nerka (organ)	duan-cuan
nic	wuo
nici do haftu	lie-de
nie	nai
nie lubić	nin-se
nie ma problemu	man-song-di
nie ma za co	a-er-ma
nie można	kun-beng-e
nie rozumieć	ning-lang
nie szkodzi	mou-ruo-kang
niebezpieczeństwo	piao-chong
niebezpieczeństwo	she-nei
niebiański król	beng-weng
niebiański-mistrz	chao-teng
niebiańskie	nang-qian
niebiańskie Imperium Smoczej Korony	ha-chuo
niebiańskie Schody Ziemi	nuo-chua
niebieski	nao
niebo	tiano
niedbale	chua-zhuang
niedbale, od niechcenia	chua-zhuang
niedobór Kao-Fa	tian-gua
niedobór Lue-Xue	tou-fu
niedobór Miu-Du	lao-you
niedobór esencji	min-chuo
niedobór krwi	zha-hao
niedobór nerek	sa-can
niedobór śledziony	lin-pen
niedźwiedź czarny	xiongo-pei
niefortunny	gao-luo
niegdyś	man-jiu
niegrzeczny	bang-bai
niegrzeczny, psotny	bang-bai
niejasny	diu-hei
niejasny, mglisty	diu-hei
niekompletny	nun-ying-luo
niekoniecznie	ha-fan-ming
niemowlę	wa-nen
niemożliwe	zheng-liang-ou
niemożliwy do...	qiong-chui
nienawidzić	rio
nienawistny	dun-sa
nienawistny, wstrętny	dun-sa
nienawiść	ri-xun
nienawiść (rzeczownik)	ri-xun
niepełny	men-da
niepełny, uszkodzony	men-da
niepokoić	yin-beng
niepokoić, przeszkadzać	yin-beng
niepokój	chuo-niang
nieprzezroczysty	cha-zhan-bao
nieprzytomny	ge-chuan
nieregularny	guang-leng-tang
nierozgarnięty	gua-bing
niespodziewany atak	ceng-run
niespokojny	xiang-kong
niestabilny	kan-na-pi
nietoperz	zeng-gan
nieuchronność	luo-su-sao
nieustraszony	sou-yu
nieuważny	xie-zang-san
niewinny	shun-diao
niewygodny	pu-sou
niewyraźny	cao-hun
niewyraźny, zamglony	cao-hun
niewzruszony	sheng-liao
niezadowolenie	long-heng
niezmien ny	hui-leng
nieznany	xiu-kong
niezwykły	bang-pin
niezły	nue-han
niezły, dobry	nue-han
nieśmiertelny	dai-pa
nieśmiertelny, bóstwo	dai-pa
nigdy	mie
nikt	heio
niski	gou
niskiej jakości	hao-gong
niskość	beng-kan
niszczyć	zi
noga	chai
nos	chua
nosorożec	ruo-nie
nowy	duio
nożyce	qie-qiao
nuda	zao-xin
nudny	zhen-tuo
nuty muzyczne	nong-gui
nóż	bang
obawa	ru-pin
obawiać się	fen-wan
obcy	wai-que
obcy / przybysz	wai-que
obcy, przybysz	wai-que
obiad	tian-xing
obietnica	teng-kuo
objaśniać	sang-pi
oblegać	fo-nuan
obliczać	shang-shan
obliczać, liczyć	shang-shan
oblężenie	juan-nu
obojętny	dong-shuan
obojętny, apatyczny	dong-shuan
obok	fo-qun
obracać	ge-lei
obracać się	ha-ga
obrona	man-er
obserwować	rao-zha
obudzić się	ke
ocean	haio-ye
oceniać	nou-ju
oceniać	zun-ding
oceniać, wartościować	nou-ju
ocet	yoo-biao
ochrona zdrowia	man-chao
ochrona środowiska	wen-dai
oczekiwać z niecierpliwością	nuan-cou
oczywiście	nei-niao
od	rǎo
od (źródło)	rǎo
od matki)	hai-ni
od niechcenia	chua-zhuang
odcinać	zeng-ai
odczuwać	dao-geng
oddychanie	ye-hu
oddychanie (praktyka)	ye-hu
oddzielać	tu-zan
odejść	deo
odepchnąć	fan-keng
odkrycie	shuan-tou
odległość	fo-mao
odmawiać	cuo-qie
odmrożenie	lu-qing
odnawiać	wei-bin
odnawiać, aktualizować	wei-bin
odosobniony	kuang-shuo
odpowiadać	ca
odpowiedź	ha-gong
odpowiedź, rozwiązanie	ha-gong
odpychający	ju-jia
odrodzić się	zhen-si
odrodzić się, powstać	zhen-si
odróżnić	sai-zui
odwaga	ba-niu
odwar lekarski	bo-tuo
odwiedzać	wa-jing
odwrócić	chan-shun
odwrócić/otworzyć	chan-shun
ofiara	lu-rui
ofiara (przedmiot)	lu-rui
ogier	hou-han
ogień	zha
ogień serca	cuo-hui
ogień wątroby	kuan-ni
ograniczony	qie-min
ograniczony, mieć granice	qie-min
ogromny	wen-reng
ogromny, gigantyczny	wen-reng
ogród wewnętrzny	san-wo
ogórek	caio-zen
ogórek morski	caio-nen
ohydny	ju-jia
ohydny, odpychający	ju-jia
ojciec	rou
okazja	dai-lu
okazja	wang-shen
okej	kei
okno	sui
oko	chen
okoliczności	nie-zhuai
około	ning-kua
określenia	zhai
określony	cha-suo
okrutny	nei-sun
okrutny, bezlitosny	nei-sun
okrągły kształt	yin-zhe
okręt wojenny	lue-shuan
okulary	fei-chui
olej orzechowy	yoo-cuan
olej sezamowy	yoo-a
oleje	yoo-fang
omawiać	wu-gui
on	cou
on/ona	cou
ona	cou
one	lin
oni	lin
oni/one	lin
oolong	gao-ta
opadanie szronu	nian-pa
opanować	duan-luo
opanować (umiejętność)	duan-luo
oparzenie	ni-gu
opera	die-you-jue
opisywać	keng-shen
opowiadanie	chi-cong
opowieść	ban-zhan
opuścić	deo-re
opuścić	sun-jin
opuścić (miejsce)	deo-re
opuścić się	ga-juan
opuścić się, spaść	ga-juan
opuścić, wyjechać	sun-jin
opóźniony	biao-zui
orchidea	kuo-che
organizować	ban-chua
organizować	muo-zheng
orzeszki ziemne	chou-guo
osa	mio-xiu
osiem	xun-sun
osiem kawałków brokatu	nou-gu-zun
osiem trigramów	nang-qin
osiemdziesiąt	gei-mu
osiemset	diao-tuo
osioł	mai-mi
osiągnięcie	huang-tang
osmanthus	xue-yi
osobliwy	zan-hu
ostatni	geng-zuo
ostatnio	du-xiong
ostry	se-nu
ostry, pikantny	se-nu
ostryga	luo-shuo
ostrzegać	tong-mai
oszczędność energii	lan-mai-hu
oszczędność zasobów	ri-qian-nei
oszczędzać	ceng-wo
oszołomiony	hai-pang
oszukiwać	huo-jiong
osądzać	zun-ding
osądzać, oceniać	zun-ding
osłabiać	xing-shou
otrzymać	ceng-en
otrzymać	zhu-dun
otrzymać płatność	min-duan
otrzymać, przyjąć	ceng-en
otrzymywać	chu-pei
otrzymywać, zbierać	chu-pei
otwarty	zhuai-nu
otworzyć	chan-shun
otworzyć	su
owad	chongo
owalny	keng-cao-gu
owca	yango-shang
owoc	duano
owocowy zapach	duano-meng
ozdoba włosów	li-tie
oślepić wzrok	pie-qin
ośmiokątny	kan-zou-song
ośmiornica	zhango-tong
pacjent	ci-ge
padać	yuo-nen
padać (śnieg)	yuo-nen
pagoda buddyjska	guo-zen
paifang	ye-cai
paifang, łuk pamiątkowy	ye-cai
pająk	zhüo-ceng
pakować	huang-tie
palec	ceng
palec u nogi	zu-bing
palec u ręki	qia-fo
palisander	liao-tai
palić kadzidło	feng-zhuan
pamiętać	qian-heng
pamięć	hui-ce
pamięć, wspomnienie	hui-ce
pan	cao-kuang
pan (szlachetny)	cao-kuang
pancerz	dian-ben
panda	ruo-tuan
panika	ru-bie
papier	ming-bao
papier	zhio-chu-o
papier chuan-jiu	zhong-ze
papierowy pieniądz	cen-qiu
papryka chili	caio-zhong
papuga	wuo-yong
para	pai-nu
para (ludzi	pai-nu
para (ludzi, rzeczy)	pai-nu
para wodna	bu-pao
parasol	qun-cha
parawan	eng-neng
park	ai-te
park narodowy	fa-san-xing
parowanie	le-qu
partner	niang-chao
partykuła posiadania	zhai
partykuła posiadania/określenia	zhai
partykuła pytania	mo
partykuła tematu	lo
pasek	gan-lei
pasmo górskie	he-shuang
pasta z bobu	chuo-ce-zeng
pasterz	chuo-chen
patogen ognia	tun-kou
patogen suchości	qio-miao
patogen wiatru	fengo-zhao
patogen wilgoci	pa-nue
patrzeć	fa
patrzeć w dal	cou-luo
paznokieć	shua-luan
pałac	nian-se
pałac Boskich	ning-nin-hua
pałac postu	le-xu
pałac, hala pałacowa	nian-se
pałeczki	nou-shan
pałka	liang-tuo
państwo	li-ying
peleryna	bi-mian
perfumy	kuan-pang
perilla	zun-che
permanentny	nong-yue
perła	kang-eng
pestka	xi-song
pewność	sao-niang
pełny	hou
piasek	shao
piaskowiec	mo-shan
piec	kaoo-jin
piec, grillować	kaoo-jin
piechota	bie-zhu
pieczony	kaoo-pai
pieczęć	ying-gui
piekarz	die-pin
piekarz (ciasto)	die-pin
piekło	hua-rang
pielić	dun-xia
pielęgniarka	hu-ren
pielęgniarka	nian-de
pielęgnowanie życia	xiu-nei
pielęgnować uczucie	hua-lan
pieniądze	hongo
pieprz syczuański	liao-hua
pierogi	zhuo-jiang
pierwotna energia	tong-sa
pierwotna natura	chao-kao
pierwotna pustka	shi-hou
pierwotne niemowlę	nue-wu
pierwszy	xiong-ju
pierwszy na egzaminie cesarskim	peng-chuo
pierś	ri-xu
pierś (żeńska)	ri-xu
pierścień	bei-xiang
pies	gouo
pieszo	sui-la
pigułka	fu-suan
pijać	chong-mi
pijać (formalnie)	chong-mi
pikantny	se-nu
pilnik	ke-gen
piosenka	song-zhai
pisarz	muo-ren
pisać	muo
pisać list	muo-pei
pisklę	li-shang
pismo Duo-Pao	muo-hui
pismo urzędowe	muo-niu
piwonia	niang-miao
piwonia biała	qi-chuan
piwonia zielna	jia-xuan
piąty	wang-dong
pić	ju
pięciokątny	kou-zhui-zuan
piękny	ken
pięta	chou-a
piętro	cuo-pang
piętro, warstwa	cuo-pang
pięć	dui-shen
pięć elementów	cheng-teng
pięć stałości	zeng-ran
pięćdziesiąt	gui-nin
pięćset	she-pin
pięść	bing
pięść podbija	zhu-da
piżama	zhan-chong
plac	nang-xuan
placek	shuo-sou
placek, naleśnik	shuo-sou
planować	shen-jing
plaża	haio-mo
plotka	wo-ba
plotka, pogłoska	wo-ba
plutonowy	o-an
pochmurny dzień	tiano-peng
pochodnia	tai-ti
pochodzić z	rǎo-ci
pochodzić z / wywodzić się	rǎo-ci
pochodzić z, wywodzić się	rǎo-ci
pocieszenie	yin-gai
pocieszenie, ukojenie	yin-gai
pociąg	yuan-lan
pocić się	chang-yan
poczta	xin-gei
poczucie winy	bin-dia
poczuć zapach	o-gui
początek jesieni	feng-biao
początek lata	hou-sun
początek wiosny	ei-run
początek zimy	fo-qiao
początkujący	chan-geng
pod Niebem	san-wang
pod Niebem, świat	san-wang
pod wiatr	fengo-zhi
podarować	chuan-sai
podać	gou-ai
podbródek	huang-gong
poddać się	zou-en
podejrzliwość	cen-bai
podejść blisko	sheng-guai
podekscytowany	dong-nong
podeszwa stopy	lao-chun
podglądać	ei-mu
podnieść	lan-ba
podnieść rękę	qiao-dai
podnieść, wziąć	lan-ba
podnosić	cai
podobny	pian-niu
podobny do	kuang-miu
podobny do (spójnik)	kuang-miu
podróż	qiu-cao
podróżny kupiec	fo-yuan
podstawowe ćwiczenia	ca-ei-kou
podstawowy	kuai-zei
podupadać	nie-wu
poduszka	sha-xue
poduszka do siedzenia	zui-dan
podwójna tęcza	hongo-mou
podwójne haki	lei-zhuan
podwładny	hao-pu
podziw	dai-pai
podziw, uznanie	dai-pai
podziwiać	ding-zui
podłoga	ga-sa
poeta	zao-xiang
poezja	cong-ni
poezja (formalna)	cong-ni
pogardzać	hua-cu
pogoda	qio-tui
pogodny dzień	rong-sha
pogrzeb	wen-cao
pogłoska	wo-ba
poinformować	ci-cang
poinformować, powiedzieć	ci-cang
pojazd	quan-wa
pojedynek	chun-gan
pojedynek na śmierć i życie	sheng-si
pokazać	cui
pokolenie	jue-keng
pokolenie (starsze	jue-keng
pokolenie (starsze/młodsze)	jue-keng
pokonać	ha-cou
pokorny ja	hua-sha
pokorny ja (skromność)	hua-sha
pokorny sługa	kei-hou
pokorny sługa (o sobie)	kei-hou
pokrzewka	la-tang
pokwitowanie	kang-hen
pokój	ango-shu
pokój medytacji	da-sun
pole	man-pu
pole bitwy	shua-kua
pole eliksiru	weng-zhong
pole eliksiru (centrum energii)	weng-zhong
pole ryżowe	fano-mou
pole, dzikie pole	man-pu
policjant	la-ba
policzek	bin-tan
polityka	nuo-lun
polowanie	zong-xing
pomagać	sa
pomarańcza	guoo-en
pomarańcza/mandarynka	guoo-en
pomarańczowy	tian-dai
pomelo	mao-diu
pomidor	caio-den
pomniejszać	chuo-dun
pomocniczy	zi-lang
pomyśleć o	ruo-ni
pomyśleć o, wpaść na pomysł	ruo-ni
ponieważ	gun
ponownie	keng-zhuan
popełnić przestępstwo	ne-bian
popołudnie	shuai-fang
poprawiać	chen-tou
poprawność	kua-suo
poprzedni	yu-wa-hun
poprzednim razem	sao-kua
poranek	pan-hui
porażka	pan-qing
porcelana	zhui-o
poria	cai-rao
port	ban-ang
portfel	chui-duo
porucznik	ce-luan
porywczy	bao-shuan
porzucić	bei-guan
porządkować	muo-zheng
porządkować, organizować	muo-zheng
porządnie	suo-zhua
porównywać	dui-chu
posiadać	biao-tou
post od zbóż	hun-ha
post-niebiański	re-rou
postawić	zhun-pao
postrzegać	cang-chu
postępować	ning-pian
postępować, rozwijać	ning-pian
posypywać	you-hu
posyłać	ting-gen
posyłać, dostarczać	ting-gen
poszukiwanie	zhun-nun
potem	tou
potomek	mou-lai
potrzebować	ha
potrząsać	piao-ju
potrząsać głową	cui-gong
potrząsać głową (zaprzeczenie)	cui-gong
potrząsać, kiwać	piao-ju
potrójny ogrzewacz	kua-gun
potrójny ogrzewacz (organ)	kua-gun
potwierdzenie (marker)	ban
potwierdzić	duo-kuan
potwór	hao-quan
potężny	zong-ba
poważnie	tiao-ne
poważnie, starannie	tiao-ne
powiedzieć	bo
powiedzieć	ci-cang
powieść	lao-shun
powinien	dou-xia
powiększać	han-lie
powodzenia	liu-hu
powoli	jiang-juan
powolny	qun-ceng
powrócić	shuai-nu
powstać	zhen-si
powstrzymywać	dian-jia
powszechny	ci-shi
powtarzać	sha-ying
powódź	shuo-shuang
powóz konny	xu-chou
pozdrawiać	pai-yu
pozdrawiać głośno	ying-sa-su
poziom	bian-na
poziom, sfera	bian-na
pozioma kreska	hong-la
poznać	wu-hun
poznać, rozpoznać	wu-hun
pozwalać	lie-ling
pozycja konia	chuai-lin
pozycja słupowa	long-lao
pozycja łuku	zhuo-xia
połowa	kai-luo
położyć	zhun-pao
położyć, postawić	zhun-pao
południe	fang-nan
południowy wschód	fang-nan-dong
południowy zachód	fang-nan-xi
połykać	peng-tan
pośladki	xiaoo-ri
pożar	mo-ta
pożyczyć	cou-bai
pożyczyć (komuś)	cou-bai
praca domowa	cang-jiu
praca domowa, zadanie	cang-jiu
praca oczu	hua-ping
pracować	ne
pracowity	ben-she
pragnąć	wan-lang
pragnąć, życzyć sobie	wan-lang
praktykować	rang-gun
pralka	shuai-min-shui
prawa	lan-deng
prawda	nin-tian
prawdopodobnie	tian-cun
prawdziwy	lao
prawidłowość	kui-gong
prawidłowość, wzorzec	kui-gong
prawnik	fa-ren
prawnik	she-mao
prawo	zong-zong
prawo pięści	tang-za
prawość	han-tou
prawość, sprawiedliwość	han-tou
pre-niebiański	tang-jiao
precyzyjny	liao-ri
prefekt	sui-tao
premier	gui-lai
premier, kanclerz	gui-lai
pretensja	ting-jia
prezydent	zhi-nun
problem	dong-zuo
proces	dang-ban
proces	zen-fu
produkować	nano-ci
produkty	wa-chan
produkty mleczne	xue-xian
prostokątny	eng-nian-po
prosty	zan-yao
proszę	nin
proszę pozwolić zapytać	gong-tan
proszę usiąść	xuan-nei
proszę wejść	hua-kuo
protektor	ding-sang
prowadzenie i rozciąganie	ren-liang
prowadzić	ang-yong
proza	zhun-shuo
prymitywny	nano-xu
prymitywny, zgrubny	nano-xu
przebaczać	ji-te
przebijać oblężenie	nao-nu
przebudzenie owadów	ka-lie
przechodzić przez	kuan-nong
przechowywać	gai-zhuo
przechowywać	zhui-sao
przeciwnik	guan-nian
przeciwstawiać	lang-tuan
przeciwstawiać się	ku-xie
przeciętny	shuan-ei
przed chwilą	niu-ya
przed południem	he-sang
przedmiot	qing-nu
przedmioty z jadeitu	ta-yao
przedstawiać	fou-duan
przedstawiać (kogoś)	fou-duan
przedwczoraj	zhuan-yuan
przedłużać	gu-chuan
przedłużać	tian-jie
przekazać	gou-ai
przekazać, podać	gou-ai
przekazywać	jie-wu
przekonanie	te-teng
przekształcać	jin-wei
przekąska	fano-chui
przekąska, przysmak	fano-chui
przemawiać	e-liao
przemawiać, wygłaszać	e-liao
przemyśleć	ya-chu
przenosić	nang-wang
przepis	pie-tun
przepowiednia	mi-cun
przepraszam	can
przepraszać	pan-nei
przerywać	shan-yun
przesilenie letnie	niang-sha
przesilenie zimowe	qie-pu
przeskoczyć	qia-hai
przestraszony	en-pang
przestrzeń	bie-you
przeszkadzać	yin-beng
przeszłość	hua-nao
przewrócić	dong-mie
przeznaczenie	leng-dou
przeznaczenie	piao-pai
przeznaczenie, los	leng-dou
przezroczysty	cha-cong
przełamać	dou-kun
przełożony	chi-guang
prześcieradło	chuai-teng
przodek	chao-le
przybity	zao-jia
przybysz	wai-que
przybyć	tiao-chou
przybyć, dotrzeć	tiao-chou
przyciągnąć	suan-shuo
przyczyna	pen-jing
przydzielać	ge-sun
przygotować z wyprzedzeniem	jio-shou
przygotowywać	jio-diu
przyjaciel	sano
przyjaźń	xian-cai
przyjemność	ei-pa
przyjmować	gao-feng
przyjmować	nong-ci
przyjmować (gości)	gao-feng
przyjmować uczniów	nong-ci
przyjąć	ceng-en
przyjąć	lie-xu
przyjąć, wpuścić	lie-xu
przyjęcie	chua-fa
przyjęcie (z alkoholem)	chua-fa
przyjść	ci
przyklejać	guai-pao
przyklejać (plaster)	guai-pao
przykucnąć	xian-tang
przynieść	ye
przypominać sobie	jiu-kuang
przypływ i odpływ	ca-zhun
przyrząd	ei-cuo
przysięga	ba-za
przysięgła siostra	ao-duo
przysięgły brat	bai-zou
przysmak	fano-chui
przystojny	ne-lai
przystojny, atrakcyjny	ne-lai
przyszłość	zhao-ding
przytomny	luan-shen
przytulać	da-shuo
przywracać	niang-xin
przywódca	rang-duo
przywódca szkoły	xia-rang
przywódca szkoły/sekty	xia-rang
przyznawać	dang-zhong
przyznawać, uznawać	dang-zhong
przyłączyć się	dai-an
przyśpieszać	shen-qing
próby	kuo-nie-gui
próby, trudne testy	kuo-nie-gui
próg	pang-weng
pręcik	mang-dai
prędkość	yang-tong
prędkość wiatru	fengo-kuo
psotny	bang-bai
pszczoła	mio-zou
pszenica	miano-piao
ptak	niao
ptak latający	niao-xue
puchar ceremonialny	jiong-qin
punkt	chuai-shang
punkt akupunkturowy	yang-nue
punkt końcowy	yong-que
punkt startowy	miu-shan
punkt wrzenia	man-mu
punkt zamarzania	meng-yu
punkty akupunkturowe	pan-tuo
purpurowy	hua-ou
pustka	ei-hun
pustkowie	yao-quan
pusty	hua
pustynia	gu-ruo
pułapka	nin-pin
pyszny	gang-piao
pytanie i odpowiedź	niao-nong
pytać	buo
pyton	cu-zhuang
pył	chua-rao
pyłek kwiatowy	xie-ga
półka	meng-zhui
półka, regał	meng-zhui
północ	fang-bei
północny wschód	fang-bei-dong
północny zachód	fang-bei-xi
półwysep	haio-lai
późno	gua-wei
późny wieczór	gei-fu
pędzel do pisania	jun-rang
pędzel i tusz	pa-nong
pędzić	chua-chu
pędzić, gnać	chua-chu
płakać	beio-miu
płakać, łkać	beio-miu
płaski	cheng-gang
płaszcz skórzany	cou-liao
płatek	tu-pi
płonąć	lou-piao
płynąć statkiem	die-bian
płytki	sheng-zu
pływać	bin
pływać dia-ya wietrze i falach	xiu-ken-guan
qilin	ka-can
radość	huano-wang
radość, szczęście	huano-wang
rafinowanie ducha	ca-cou
rafinowanie esencji	bo-zhe
rafinowanie miu-du	shui-wu
rafinowanie pustki	jian-yue
ramię	dang-ruo
ramię (bark)	dang-ruo
rano	jing
raportować	fang-tou
raportować, zgłaszać	fang-tou
ratan	re-kong
razem	gao-ha
rdest chiński	le-hai-qian
recytować	cao-guan
regał	meng-zhui
regał na książki	shi-lao
regulacja	chang-zhuo
reguła	pie-tun
reguła, przepis	pie-tun
reinkarnacja	na-rong
reishi	la-xian
reishi (grzyb nieśmiertelności)	la-xian
rejestrować	bian-deng
rekin	sharo-zha
relacja	zan-ren
relacja, związek	zan-ren
relaksować się	qing-xiong
religia	gu-gui
ren-zhai	rong-man
ren-zhai (czas)	rong-man
restauracja	dia-zhua
restaurować	chu-yin
rezerwat	hua-wei-hei
rezerwować	jio-shou
rezerwować, przygotować z wyprzedzeniem	jio-shou
rezultat	cun-kuang
rezultat, skutek	cun-kuang
robić	bao
robić zakupy	hang-cheng
robotnik	kuo-biao
rodzice	gu-shuo
rodzina	ruo
rodzina od żony	miao-xuan
rodzinna wioska	jiong-seng
rodzinna wioska/miasto	jiong-seng
rok	kang
rolnik	nie-juan
ronić łzy	beio-zhua
ropucha	wao-fen
rower	ken-ting-diao
rozbierać	cuan-yong
rozbierać się	san-zei
rozbierać, burzyć	cuan-yong
rozbijać	dia-ya
rozbity	xing-lie
rozciągać	tian-jie
rozciągać, przedłużać	tian-jie
rozczarowanie	pa-xuan
rozdzielać	guo-liang
rozgwiazda	guango-qia
rozkaz wojskowy	qi-xi
rozkaz wojskowy (tabliczka)	qi-xi
